Output,thumb0_X,thumb0_Y,thumb0_Z,thumb1_X,thumb1_Y,thumb1_Z,thumb2_X,thumb2_Y,thumb2_Z,thumb3_X,thumb3_Y,thumb3_Z,index1_X,index1_Y,index1_Z,index2_X,index2_Y,index2_Z,index3_X,index3_Y,index3_Z,middle1_X,middle1_Y,middle1_Z,middle2_X,middle2_Y,middle2_Z,middle3_X,middle3_Y,middle3_Z,ring1_X,ring1_Y,ring1_Z,ring2_X,ring2_Y,ring2_Z,ring3_X,ring3_Y,ring3_Z,pinky0_X,pinky0_Y,pinky0_Z,pinky1_X,pinky1_Y,pinky1_Z,pinky2_X,pinky2_Y,pinky2_Z,pinky3_X,pinky3_Y,pinky3_Z,roothand_X,roothand_Y,roothand_Z,roothand_RotateX,roothand_RotateY,roothand_RotateZ,thumb0_RotateX,thumb0_RotateY,thumb0_RotateZ,thumb1_RotateX,thumb1_RotateY,thumb1_RotateZ,thumb2_RotateX,thumb2_RotateY,thumb2_RotateZ,thumb3_RotateX,thumb3_RotateY,thumb3_RotateZ,index1_RotateX,index1_RotateY,index1_RotateZ,index2_RotateX,index2_RotateY,index2_RotateZ,index3_RotateX,index3_RotateY,index3_RotateZ,middle1_RotateX,middle1_RotateY,middle1_RotateZ,middle2_RotateX,middle2_RotateY,middle2_RotateZ,middle3_RotateX,middle3_RotateY,middle3_RotateZ,ring1_RotateX,ring1_RotateY,ring1_RotateZ,ring2_RotateX,ring2_RotateY,ring2_RotateZ,ring3_RotateX,ring3_RotateY,ring3_RotateZ,pinky0_RotateX,pinky0_RotateY,pinky0_RotateZ,pinky1_RotateX,pinky1_RotateY,pinky1_RotateZ,pinky2_RotateX,pinky2_RotateY,pinky2_RotateZ,pinky3_RotateX,pinky3_RotateY,pinky3_RotateZ,
108,-0.01104565,0.0136385,0.01874417,-0.01903228,0.03364229,0.03162944,-0.0409335,0.05134916,0.04851136,-0.05941345,0.07302046,0.0673162,-0.002421111,0.04227114,0.09070221,-0.002553269,0.05494404,0.1268489,-0.01102281,0.06149197,0.1489362,0.004216924,0.02099705,0.09424397,0.002875373,0.02418041,0.1374595,-0.007496431,0.02545786,0.1632458,0.001359746,0.0003669262,0.09152207,-0.002387464,-0.003890753,0.130495,-0.01099668,-0.00619936,0.155809,-0.005017027,-0.01641369,0.03898218,-0.005100414,-0.01968598,0.08496985,-0.01523913,-0.0285356,0.1129248,-0.02665186,-0.03404021,0.1290567,0,0,0,282.3011,203.4991,71.10516,350.4189,225.3371,53.92833,23.4889,233.7833,36.01348,10.80442,234.5241,40.27418,22.95463,235.9087,48.55185,291.0122,203.9025,67.32436,289.272,196.6764,53.92957,285.8799,198.0593,43.5005,275.6616,220.2623,48.09894,274.4447,211.8316,36.33961,273.2783,118.5229,122.6299,276.6091,14.6947,249.9367,279.1779,38.91463,212.6367,279.3166,61.23185,178.6204,290.2167,78.74704,191.8612,292.7233,24.77956,227.5968,299.8017,25.6207,212.6784,297.248,36.14886,199.0391,
109,-0.01670624,0.008249283,0.01766929,-0.03873558,0.01348817,0.02849701,-0.05561806,0.01929355,0.05605564,-0.06393386,0.03319883,0.08609334,-0.05165927,0.0706923,0.04851297,-0.05927069,0.07454109,0.08585539,-0.05773859,0.0585916,0.1044493,-0.03026997,0.07788181,0.04856661,-0.03996402,0.09836674,0.08552489,-0.04254241,0.08528709,0.1099463,-0.009920999,0.07437968,0.05241659,-0.01511386,0.1009727,0.08099839,-0.02128603,0.09380364,0.1061133,0.0115151,0.02866304,0.02932611,0.009858847,0.06564569,0.05680546,0.01107997,0.09022021,0.07570508,0.006195977,0.0894866,0.09561482,0,0,0,13.04872,258.3503,57.77788,77.74741,306.8513,100.4398,57.35141,42.22669,160.8694,60.95276,21.07869,122.9491,60.62285,42.17009,121.4466,18.52865,260.4189,6.082965,15.58684,260.914,317.5766,16.44473,264.1791,297.9726,8.953544,260.1481,28.57698,7.469924,259.9685,331.6978,1.156254,264.1044,305.256,0.2566299,259.9375,42.47221,355.9901,257.3062,344.468,352.4331,255.5652,310.7651,346.2202,247.3192,55.68307,348.8261,258.8458,53.83995,340.074,256.9604,357.8199,338.7682,251.3225,330.6109,
110,-0.01665847,0.005459309,0.01876292,-0.03484134,0.0174365,0.03124911,-0.05924468,0.02723122,0.05091485,-0.08033343,0.03736687,0.07576045,-0.0256217,0.03822613,0.08889255,-0.03613082,0.03958941,0.1257016,-0.0502857,0.03121805,0.143923,-0.007414788,0.02551889,0.09292141,-0.01274598,0.02828074,0.135857,-0.02643889,0.02041245,0.1587639,0.002710253,0.007196426,0.09120932,0.004948646,0.01067281,0.1303751,-0.004171103,0.006268024,0.1552282,0.006700277,-0.01349199,0.03984037,0.009538442,-0.01308906,0.08585522,0.0172715,-0.01272452,0.1158994,0.01382889,-0.01776171,0.1354842,0,0,0,314.463,250.8275,22.53998,19.60103,225.6258,30.43492,46.80663,238.3071,25.83587,35.07092,242.2881,21.27679,45.95782,237.7867,13.86857,318.2513,252.2443,2.734226,315.318,253.1858,331.3361,315.4094,257.922,315.4735,311.7685,258.8231,5.488138,310.3773,259.4171,334.1161,305.126,264.2204,319.8586,305.6381,266.1706,8.713832,301.1882,265.803,341.5223,298.6815,260.5697,330.8888,287.1782,271.9186,1.688208,298.6445,283.2015,1.404408,293.3505,295.9582,321.7172,290.0485,283.622,324.3806,
111,-0.01431359,0.01444507,0.01567855,-0.02686265,0.03442061,0.02425033,-0.05408549,0.04347479,0.04022327,-0.0782135,0.05072391,0.0632464,-0.01430294,0.05851734,0.07994214,-0.03944786,0.06331265,0.1084367,-0.06229015,0.05769837,0.1154489,-0.003278837,0.04043043,0.08772233,-0.01693337,0.04913878,0.1279372,-0.03455812,0.05065608,0.1494128,-0.001470596,0.01957202,0.08940384,-0.005201876,0.02357006,0.1284058,-0.01165548,0.02556908,0.1543788,-0.002458706,-0.008691907,0.04162446,-0.003188983,-0.002321362,0.08728042,-0.003268227,-0.009885311,0.1173697,-0.003047362,-0.01655543,0.1367669,0,0,0,299.2715,216.5008,56.96294,7.992805,224.9698,53.48256,45.89113,227.6154,23.3388,34.56157,232.2692,14.94695,45.47218,226.2899,12.73395,305.5185,218.3907,12.4444,302.5233,218.6878,334.8218,302.5208,224.8651,313.5159,293.8443,223.6043,29.79448,292.4361,223.024,8.214912,286.6916,220.5588,2.296226,283.0533,238.4231,26.70966,279.4109,229.2603,27.09951,280.3839,209.3796,36.90982,280.5388,137.6435,130.958,284.6262,344.2679,285.0997,288.9777,1.505676,269.1931,283.343,0.8942739,272.7827,
112,-0.02047159,0.001571894,0.01542068,-0.04452468,0.001337767,0.02258801,-0.06224214,-0.005624294,0.04934275,-0.07909602,-0.006743431,0.0789986,-0.06955004,0.04982448,0.05196059,-0.08657715,0.05756998,0.08538637,-0.09507939,0.05421662,0.1081663,-0.0498907,0.05921459,0.0578371,-0.06823072,0.06558895,0.09659961,-0.07591841,0.05386543,0.1206328,-0.03014909,0.05725765,0.06473693,-0.04578276,0.06027031,0.1007587,-0.05252089,0.0407877,0.1179422,0.001822084,0.02157307,0.03668064,-0.01021034,0.05007052,0.07086691,-0.02390727,0.05223608,0.09862098,-0.03149316,0.03774071,0.1109956,0,0,0,16.20598,243.6418,41.56819,82.29075,192.6364,356.0086,55.6126,74.96944,202.0502,66.6412,64.74612,184.7436,55.98553,75.64672,196.1221,19.0171,247.0865,12.35017,15.98942,247.2679,351.8294,14.60565,250.5809,348.6926,12.74469,246.6061,8.670074,11.32647,246.9218,334.5499,6.046445,249.5921,325.6702,5.967659,246.9984,4.411027,1.088755,247.4391,313.4413,357.3521,247.0227,290.0477,347.4044,240.4941,39.2984,356.5502,243.4915,4.00974,349.7801,248.8633,314.1082,345.297,245.5338,294.69,
113,-0.01891698,0.01231909,0.01223683,-0.03724083,0.0289588,0.01639983,-0.06843305,0.03237343,0.02607369,-0.09935324,0.03981829,0.03845474,-0.03604947,0.06598759,0.06607309,-0.04040271,0.09244585,0.09342656,-0.05272561,0.102495,0.1121248,-0.02086596,0.05382776,0.07750967,-0.02451304,0.07682705,0.1140782,-0.04180972,0.07995629,0.1356459,-0.01326495,0.0351727,0.08345768,-0.01717611,0.05079412,0.1193984,-0.03278951,0.05399942,0.1409899,-0.002756968,-0.0008056164,0.04249635,-0.008470193,0.0137713,0.08586058,-0.01355249,0.01848793,0.1161014,-0.02537112,0.01698828,0.1328005,0,0,0,319.1441,221.4786,47.6506,28.18891,221.1315,48.77902,67.05922,211.5313,15.4722,55.39111,220.722,22.58656,67.00101,214.1084,21.47218,325.1855,219.3307,57.28161,322.9569,216.8169,30.85916,320.0893,219.0463,15.92344,314.9202,225.4333,48.70237,313.6275,224.4515,9.381789,306.9381,223.1847,352.2864,306.6082,228.2238,41.6926,302.9486,223.431,12.68624,301.5648,216.879,354.8832,291.5573,204.9889,59.36014,293.5407,239.7852,22.37323,286.5099,249.0316,345.0909,285.407,229.0248,349.7287,
114,-0.01766948,0.0152539,0.01069871,-0.03348052,0.03456223,0.01337779,-0.06118596,0.04339254,0.02862999,-0.08483044,0.0513314,0.05192563,-0.0303712,0.07173264,0.06286177,-0.04995872,0.08253825,0.09395465,-0.07196286,0.07721603,0.1034391,-0.01814471,0.05757129,0.07547775,-0.0385388,0.07095659,0.1113167,-0.06460987,0.06376183,0.1178487,-0.01397197,0.03806698,0.08206072,-0.03636992,0.04682505,0.1132487,-0.06247005,0.04166234,0.1167667,-0.006051734,0.0002791882,0.04216024,-0.0127181,0.01622355,0.08490273,-0.03335024,0.02249038,0.1072103,-0.0535944,0.02064335,0.1099583,0,0,0,314.4156,210.028,57.91925,22.84968,220.1035,56.5938,58.51891,235.9605,30.99516,46.97867,239.4245,19.93432,57.55408,233.0304,8.362289,312.9666,219.388,24.4497,310.0198,218.6559,340.2941,309.7354,223.709,315.7917,307.8961,215.7104,30.17612,306.4197,215.3401,334.1787,300.1651,223.0252,301.0608,301.9496,212.8626,24.84973,297.228,210.0699,335.138,293.5414,206.9501,305.9311,290.3452,177.5024,84.02851,294.0762,199.7456,29.67871,286.0283,206.0739,340.9667,284.213,185.9808,337.8933,
115,-0.02067755,0.009946108,0.01152673,-0.04054995,0.02479649,0.01533929,-0.06807749,0.02552581,0.03322503,-0.09135774,0.02649379,0.05816236,-0.0458992,0.05826545,0.06721589,-0.07734724,0.04818964,0.08662453,-0.09395026,0.03030133,0.08401409,-0.03061533,0.04654551,0.07897338,-0.05402224,0.05510139,0.1144478,-0.07788622,0.04517579,0.1247495,-0.02195089,0.02816272,0.084281,-0.03278022,0.03947616,0.1204167,-0.05465165,0.03537226,0.1354181,-0.00567095,-0.00396657,0.04202732,-0.01560146,0.007078886,0.0856733,-0.01715,0.0126493,0.1161554,-0.02999757,0.009902239,0.1319092,0,0,0,319.3495,222.4048,39.79489,27.92624,213.752,42.03953,66.19694,215.9005,3.155062,56.25016,229.4018,2.925968,65.24097,213.9552,348.8206,325.3723,222.5343,341.3564,322.9159,224.625,293.9989,325.0091,227.8305,276.7937,316.5024,225.5697,15.7869,315.0349,225.7698,329.7214,309.5281,231.5598,307.3508,308.0515,230.7881,27.77894,303.53,227.9507,343.9277,300.4886,223.6752,322.4214,290.5724,216.087,42.97436,296.7552,245.8677,23.50522,289.1171,253.7483,335.8638,286.8969,237.1598,334.7131,
116,-0.02063324,0.01033723,0.01125908,-0.04328777,0.02089226,0.01356977,-0.06717386,0.02441657,0.03582355,-0.0887683,0.03272355,0.0609124,-0.05052264,0.07473707,0.0433757,-0.0745669,0.08660769,0.07072815,-0.09068768,0.08328247,0.088936,-0.03065701,0.07401919,0.05405453,-0.05579986,0.08362126,0.08804211,-0.07337394,0.07260299,0.1065862,-0.01592195,0.06313658,0.0643315,-0.03733625,0.06996799,0.0966706,-0.05574201,0.05696106,0.1112407,0.002658218,0.01750135,0.03874049,-0.003129855,0.04752612,0.0732455,-0.01824257,0.05422139,0.09950128,-0.03374182,0.04516983,0.1094327,0,0,0,351.2057,231.4719,52.08578,59.97865,239.1552,57.19384,78.93477,9.46846,145.9979,75.83638,313.2074,84.10993,79.25829,8.045774,139.1194,0.729811,228.9207,18.05533,357.7105,228.7923,352.2076,356.4185,231.9747,343.9413,350.1841,231.2551,12.9897,348.7419,231.4631,336.1852,343.2345,234.2045,324.0239,340.6364,232.9395,10.59469,335.8866,232.7253,327.927,332.465,231.0858,307.1261,323.7148,221.4299,53.88981,327.4832,231.9763,14.82798,319.9974,237.0208,324.8276,316.3353,231.4231,309.6155,
117,-0.01312374,0.01890743,0.01138568,-0.01922515,0.04212046,0.01872736,-0.04125874,0.06348562,0.03040004,-0.06292864,0.08338737,0.04769498,-0.02717228,0.05557775,0.07869172,-0.05561759,0.07214546,0.09827667,-0.07849373,0.08055544,0.1011779,-0.02950437,0.03417552,0.08545238,-0.05948941,0.04909897,0.1129788,-0.08377886,0.05873394,0.1225353,-0.03712447,0.01485193,0.0823375,-0.06288435,0.02352166,0.1108388,-0.08535212,0.03158808,0.1231016,-0.02567101,-0.007976651,0.03303879,-0.0460393,-0.003602386,0.07416761,-0.06476833,-0.001822948,0.09883833,-0.0821672,0.001725793,0.1091084,0,0,0,293.0576,127.9743,122.1351,346.7498,195.3372,71.83329,12.88294,219.215,41.87151,0.7170409,219.1084,35.67453,13.17967,219.6771,47.82708,296.7994,142.791,73.60545,295.3175,136.7904,53.24681,291.9001,137.8351,45.12315,290.5338,120.7487,101.0726,290.3383,116.7149,85.08679,290.4753,101.4586,96.2495,288.6261,89.92538,136.4304,291.661,81.13771,125.4823,295.0925,83.23158,113.9819,305.3947,71.35789,170.5772,294.6377,59.99156,172.0921,299.865,48.36403,159.6705,302.3606,58.13968,145.7755,
